accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z
-0.71,-0.02,-0.71,-0.427,-1.099,-1.404
-0.703,-0.018,-0.715,1.709,-0.427,-1.892
-0.714,-0.018,-0.721,0.854,-3.113,-2.441
-0.714,-0.036,-0.724,-1.892,0.671,-0.427
-0.716,-0.028,-0.726,-0.061,-0.854,-1.77
-0.713,-0.024,-0.711,-1.526,-1.221,-1.526
-0.714,-0.025,-0.706,-6.409,-5.249,-0.427
-0.735,-0.017,-0.726,-1.892,0.183,-0.488
-0.75,-0.036,-0.74,11.78,3.845,-4.883
-0.731,-0.038,-0.725,-0.244,0.732,-1.099
-0.729,-0.024,-0.714,0.305,0.122,-1.221
-0.72,-0.026,-0.702,0.122,-0.305,-1.953
-0.71,-0.025,-0.702,0.732,-0.183,-1.648
-0.736,-0.024,-0.725,6.287,7.568,-2.991
-0.732,-0.033,-0.705,-1.587,-0.916,-2.441
-0.697,-0.046,-0.689,0.732,-6.226,-3.296
-0.724,-0.034,-0.686,0.61,0.732,-2.197
-0.73,-0.029,-0.701,0.549,-0.854,-1.526
-0.725,-0.034,-0.696,0.122,-1.282,-1.77
-0.726,-0.029,-0.702,0.366,-0.61,-1.404
-0.738,-0.022,-0.735,-3.174,0.244,-0.366
-0.722,-0.034,-0.693,-0.122,-0.549,-1.709
-0.708,-0.024,-0.654,1.831,0.366,-2.319
-0.723,-0.028,-0.69,0.244,-0.366,-1.16
-0.743,-0.052,-0.753,-2.747,-1.282,-2.502
-0.729,-0.028,-0.712,-0.488,-0.854,-1.77
-0.725,-0.026,-0.712,0.366,-1.77,-1.587
-0.742,-0.026,-0.719,0.122,-0.793,-0.549
-0.716,-0.042,-0.657,6.653,-3.235,-2.502
-0.728,-0.024,-0.699,-15.442,2.075,-0.854
-0.713,-0.025,-0.671,-0.244,-0.366,-2.625
-0.747,-0.021,-0.734,-1.465,5.005,-0.671
-0.757,-0.044,-0.781,2.869,0.732,-1.648
-0.729,-0.04,-0.689,-1.953,-0.61,-1.526
-0.729,-0.029,-0.715,0.854,0.244,-1.709
-0.719,-0.031,-0.712,0.061,0.061,-1.709
-0.719,-0.034,-0.709,0.061,0.061,-1.526
-0.715,-0.03,-0.702,-0.244,0.183,-1.953
-0.715,-0.028,-0.7,0.366,-1.099,-1.587
-0.708,-0.017,-0.684,-4.089,-6.226,-1.587
-0.711,-0.035,-0.701,-3.113,-1.587,-1.404
-0.717,-0.03,-0.69,-0.427,0.732,-1.648
-0.707,-0.025,-0.661,-0.732,-7.446,-1.892
-0.716,-0.031,-0.696,-0.366,3.052,-1.221
-0.733,-0.037,-0.711,-1.099,-0.366,-1.404
-0.688,-0.044,-0.678,1.77,-2.502,-2.869
-0.733,-0.035,-0.705,1.038,1.526,-0.61
-0.711,-0.036,-0.715,-2.014,0.183,-1.221
-0.7,-0.024,-0.661,1.831,-0.671,-2.625
-0.716,-0.023,-0.703,0.977,-0.305,-1.77
-0.716,-0.028,-0.707,0.183,-0.732,-1.648
-0.719,-0.026,-0.713,0.061,-1.343,-1.526
-0.724,-0.031,-0.699,2.319,0.183,-1.282
-0.74,-0.027,-0.76,5.92,3.113,-2.197
-0.726,-0.027,-0.722,-0.793,-0.183,-1.831
-0.715,-0.025,-0.675,3.418,-2.258,-2.136
-0.716,-0.027,-0.695,-3.113,0.305,-1.709
-0.719,-0.024,-0.71,-0.244,-1.831,-1.831
-0.717,-0.024,-0.701,1.892,-1.038,-2.136
-0.712,-0.037,-0.708,1.465,-1.587,-2.38
-0.717,-0.032,-0.708,1.038,-0.549,-1.831
-0.716,-0.026,-0.71,0.488,-0.549,-1.831
-0.717,-0.032,-0.716,0.366,-0.366,-1.343
-0.714,-0.029,-0.712,-0.244,-0.916,-1.587
-0.71,-0.027,-0.688,0.122,-2.869,-2.014
-0.719,-0.031,-0.705,-1.038,-0.916,-1.221
-0.721,-0.031,-0.694,-1.404,-2.319,-2.014
-0.722,-0.025,-0.682,-0.61,-1.343,-2.014
-0.723,-0.03,-0.699,0.549,-0.732,-1.343
-0.745,-0.021,-0.73,-4.211,-4.089,-1.831
-0.724,-0.018,-0.695,0.0,2.197,-1.221
-0.727,-0.025,-0.697,-1.709,-0.122,-1.587
-0.715,-0.027,-0.678,1.16,-1.221,-1.953
-0.716,-0.028,-0.686,-0.244,-0.122,-2.319
-0.712,-0.023,-0.694,1.099,0.183,-1.892
-0.721,-0.025,-0.708,0.671,-0.61,-1.648
-0.728,-0.023,-0.703,-0.549,0.244,-2.258
-0.713,-0.01,-0.689,2.563,-3.967,-2.502
-0.721,-0.019,-0.714,1.77,-1.587,-1.831
-0.722,-0.022,-0.707,0.366,-1.16,-2.319
-0.724,-0.019,-0.703,0.366,0.549,-1.343
-0.719,-0.026,-0.703,-0.488,0.549,-1.587
-0.712,-0.02,-0.679,1.953,-1.709,-1.526
-0.726,-0.026,-0.693,-0.122,0.732,-1.526
-0.72,-0.023,-0.694,0.549,-0.732,-1.709
-0.723,-0.025,-0.699,0.488,0.122,-1.587
-0.725,-0.023,-0.698,0.0,1.221,-1.892
-0.721,-0.021,-0.697,0.549,-0.732,-1.77
-0.723,-0.024,-0.7,1.282,-0.305,-1.587
-0.721,-0.025,-0.704,0.793,-0.977,-1.953
-0.72,-0.023,-0.692,0.183,-0.244,-1.587
-0.736,-0.025,-0.711,4.883,3.296,-2.808
-0.723,-0.027,-0.702,-1.099,0.061,-1.648
-0.743,-0.012,-0.72,-1.343,-1.709,-0.366
-0.734,-0.02,-0.697,0.244,0.61,-1.526
-0.732,-0.021,-0.701,-0.244,-0.488,-1.526
-0.734,-0.018,-0.699,0.916,-0.488,-1.282
-0.722,-0.021,-0.686,1.648,2.075,-2.258
-0.741,-0.016,-0.735,-0.732,4.517,-0.854
-0.727,-0.023,-0.708,0.488,-0.732,-1.709
-0.73,-0.025,-0.704,0.549,-0.793,-1.587
-0.727,-0.027,-0.691,1.709,0.671,-2.38
-0.743,-0.027,-0.735,-3.052,5.249,-0.793
-0.726,-0.033,-0.702,1.343,-1.77,-2.93
-0.726,-0.028,-0.698,0.549,1.892,-1.038
-0.719,-0.033,-0.693,1.892,-2.258,-2.319
-0.719,-0.038,-0.713,-1.099,-3.784,-1.099
-0.726,-0.039,-0.697,-0.854,-1.465,-1.587
-0.742,-0.023,-0.719,2.258,1.526,-0.916
-0.736,-0.036,-0.717,0.793,-0.854,-1.831
-0.732,-0.039,-0.701,1.953,0.488,-1.892
-0.726,-0.04,-0.707,0.183,-0.305,-1.526
-0.727,-0.035,-0.7,-0.305,0.061,-1.648
