Class,Accel_x,Accel_y,Accel_y,Delta_accel_x,Delta_accel_y,Delta_accel_z,Previous_delta_accelerate_x,Previous_delta_accel_y,Previous_delta_z,Gyro_x,Gyro_y,Gyro_z,Delta_gyro_x,Delta_gyro_y,Delta_gyro_z,Prev_delta_gyro_x,Prev_delta_gyro_y,Prev_delta_gyro_z
0,-0.8515625,0.001464844,-0.6160889,0.02539063,-0.03637695,-0.6187744,0.08312988,0.00390625,-1.03125,-3.601074,7.263183,2.563476,6.835937,-102.2339,-8.972167,-2.380371,-4.760742,4.516601
0,-0.444458,0.02905273,-0.9284668,0.4071045,0.02758789,-0.3123779,0.4324951,-0.008789063,-0.9311523,-30.51758,136.2915,5.249023,-26.9165,129.0283,2.685547,-20.08057,26.79444,-6.286621
0,-0.1481934,0.05126953,-0.9949951,0.2962646,0.0222168,-0.06652832,0.7033691,0.04980469,-0.3789063,-1.953125,-14.09912,-2.258301,28.56445,-150.3906,-7.507324,1.647949,-21.3623,-4.821777
0,-0.7253418,0.02233887,-0.4528809,-0.5771484,-0.02893066,0.5421143,-0.2808838,-0.006713867,0.4755859,-0.3662109,-133.4839,-21.24023,1.586914,-119.3848,-18.98193,30.15137,-269.7754,-26.48926
0,-0.8572998,0.005737305,-0.503418,-0.131958,-0.01660156,-0.05053711,-0.7091064,-0.04553223,0.4915771,14.28223,-1.525879,-4.211426,14.64844,131.958,17.02881,16.23535,12.57324,-1.953125
0,-0.7318115,-0.5161133,-0.4821777,0.1254883,-0.5218506,0.02124023,-0.006469727,-0.5384521,-0.02929688,27.40478,2.807617,0.6713867,13.12256,4.333496,4.882813,27.77099,136.2915,21.91162
0,-0.7598877,-0.3825684,-0.7319336,-0.02807617,0.1335449,-0.2497559,0.09741211,-0.3883057,-0.2285156,-205.0781,-25.39062,-19.59229,-232.4829,-28.19824,-20.26367,-219.3603,-23.86474,-15.38086
0,-0.8040771,0.05834961,-0.5919189,-0.04418945,0.440918,0.1400146,-0.07226563,0.5744629,-0.1097412,-1.586914,2.01416,-0.427246,203.4912,27.40478,19.16504,-28.9917,-0.7934568,-1.098633
0,-0.5766602,0.6779785,-0.4489746,0.227417,0.6196289,0.1429443,0.1832275,1.060547,0.282959,-62.37793,2.075195,19.83643,-60.79101,0.06103516,20.26367,142.7002,27.46582,39.42871
0,-0.5847168,0.37854,-0.5806885,-0.008056641,-0.2994385,-0.1317139,0.2193604,0.3201904,0.01123047,232.5439,11.65771,2.441406,294.9218,9.582519,-17.39502,234.1308,9.643554,2.868652
